repo,dag_id,file,lambda_uniform,critical_path_uniform,cycle_condensed,cycle_tasks,cp_tasks,permalink
MrE-Fog/airflow,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/MrE-Fog/airflow/blob/8b69cb51cf8fa671cfc9681a4ccec1eca99862fd/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L34
Prashant15887/apache-airflow-2.10.4,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/Prashant15887/apache-airflow-2.10.4/blob/eef69fadf26a6b712bd276155b96721768121e4d/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
Prashant15887/apache-airflow-2.10.4,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/Prashant15887/apache-airflow-2.10.4/blob/eef69fadf26a6b712bd276155b96721768121e4d/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L35
PreethamMadupuri91/AirflowWorkflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/PreethamMadupuri91/AirflowWorkflow/blob/6d6a9ab548edcd90838d099d91419e7cc573340e/airflow/example_dags/example_branch_python_dop_operator_3.py#L35
PreethamMadupuri91/AirflowWorkflow,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/PreethamMadupuri91/AirflowWorkflow/blob/6d6a9ab548edcd90838d099d91419e7cc573340e/dags/test_dag.py#L39
Ricochet-Exchange/ricochet-keeper,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/Ricochet-Exchange/ricochet-keeper/blob/200b15fb2c017b415c87bf732874663e8a16c438/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
SonarSource/python-test-sources,example_branch_dop_operator_v3,airflow/airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/SonarSource/python-test-sources/blob/117bb5d06d8bae21cf091d7114071be9e53d4315/airflow/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
SonarSource/python-test-sources,test_dag_v1,airflow/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/SonarSource/python-test-sources/blob/117bb5d06d8bae21cf091d7114071be9e53d4315/airflow/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L30
SpringUpenn/airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.oper_1->example_branch_dop_operator_v3.oper_1(p=1),example_branch_dop_operator_v3.oper_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.oper_1,https://github.com/SpringUpenn/airflow/blob/facb8fbea154f1cb12db0434a4c8dc7ee7f4bf7b/airflow/example_dags/example_branch_python_dop_operator_3.py#L31
SpringUpenn/airflow,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/SpringUpenn/airflow/blob/facb8fbea154f1cb12db0434a4c8dc7ee7f4bf7b/dags/test_dag.py#L30
Tristan-Chow/airflow,example_branch_dop_operator_v3,airflow-1.10.12/airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/Tristan-Chow/airflow/blob/fede422ae4074dbc5ee1cc8dd3d0d770bac7b99f/airflow-1.10.12/airflow/example_dags/example_branch_python_dop_operator_3.py#L39
Tristan-Chow/airflow,test_dag_v1,airflow-1.10.12/dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/Tristan-Chow/airflow/blob/fede422ae4074dbc5ee1cc8dd3d0d770bac7b99f/airflow-1.10.12/dags/test_dag.py#L40
a0x8o/airflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.empty_task_1->example_branch_dop_operator_v3.empty_task_1(p=1),example_branch_dop_operator_v3.empty_task_1,example_branch_dop_operator_v3.should_run -> example_branch_dop_operator_v3.empty_task_1,https://github.com/a0x8o/airflow/blob/044e5a148e8cb0fd091684189411d277f3ffa03b/airflow/example_dags/example_branch_python_dop_operator_3.py#L49
a0x8o/airflow,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/a0x8o/airflow/blob/044e5a148e8cb0fd091684189411d277f3ffa03b/dags/test_dag.py#L39
a0x8o/airflow,test_dag_v1,docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/a0x8o/airflow/blob/044e5a148e8cb0fd091684189411d277f3ffa03b/docs/docker-stack/docker-examples/extending/embedding-dags/test_dag.py#L35
aatmdev/apacheairflow,example_branch_dop_operator_v3,airflow/example_dags/example_branch_python_dop_operator_3.py,1.0,2.0,example_branch_dop_operator_v3.dummy_task_1->example_branch_dop_operator_v3.dummy_task_1(p=1),example_branch_dop_operator_v3.dummy_task_1,example_branch_dop_operator_v3.condition -> example_branch_dop_operator_v3.dummy_task_1,https://github.com/aatmdev/apacheairflow/blob/096f5c5cba963b364ee75f6686d128cd4d34d66e/airflow/example_dags/example_branch_python_dop_operator_3.py#L35
aatmdev/apacheairflow,test_dag_v1,dags/test_dag.py,1.0,3.0,test_dag_v1.run_this_3->test_dag_v1.run_this_3(p=1),test_dag_v1.run_this_3,test_dag_v1.run_this_1 -> test_dag_v1.run_this_2 -> test_dag_v1.run_this_3,https://github.com/aatmdev/apacheairflow/blob/096f5c5cba963b364ee75f6686d128cd4d34d66e/dags/test_dag.py#L39
