dag_id,instanz,im_code,laeuft,schedule,takt_s,laeufe_30d,median_dauer_s,signale,beleg
cx_daily_report,airflow-analytics-product,1,1,"'@daily'",86400.0,27,6453.4,,analytics_product/dags/content_translation/cx_daily_report_dag.py:34
cx_deletion_stats_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,160827.2,,analytics_product/dags/content_translation/cx_deletion_stats_monthly_dag.py:62
cx_key_metrics_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,161700.3,,analytics_product/dags/content_translation/cx_key_metrics_monthly_dag.py:61
cx_monitoring_metrics_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,27,859.4,,analytics_product/dags/content_translation/cx_daily_monitoring_metrics_dag.py:75
cx_mt_default_service_comparison_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,163883.4,,analytics_product/dags/content_translation/cx_mt_default_service_comparison_monthly_dag.py:63
cx_mt_service_availability_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,1614.2,,analytics_product/dags/content_translation/cx_mt_service_availability_monthly_dag.py:59
cx_mt_service_usage_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,162153.3,,analytics_product/dags/content_translation/cx_mt_service_usage_monthly_dag.py:59
cx_suggestions_menu_interactions_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,27,931.9,,analytics_product/dags/content_translation/cx_suggestions_menu_interactions_daily_dag.py:61
cx_translations_load_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,27,207.9,,analytics_product/dags/content_translation/cx_translations_daily_dag.py:69
cx_translators_load_daily,,1,0,"'@daily'",86400.0,0,,,analytics_product/dags/content_translation/cx_translators_daily_dag.py:70
datahub_lineage_emitter,airflow-test-k8s,0,1,"",,18,15.8,,
dbt_daily,airflow-dev,0,1,"",,2,5010.0,,
dbt_daily,airflow-main,0,1,"",,28,29950.2,,
dbt_monthly,airflow-main,0,1,"",,0,517.3,,
dbt_weekly,airflow-main,0,1,"",,4,1580.6,,
drop_old_data_daily,airflow-search,1,1,"'@daily'",86400.0,28,257.6,max_active_runs,search/dags/drop_old_data_daily.py:11
druid_load_banner_activity_minutely_aggregated_daily,airflow-main,1,1,"'@daily'",86400.0,28,8873.4,,main/dags/druid_load/druid_load_banner_activity_minutely_dag.py:97
druid_load_banner_activity_minutely_aggregated_monthly,airflow-main,1,1,"DelayedMonthlyTimetable(props.monthly_dag_delay)",,0,53070.7,,main/dags/druid_load/druid_load_banner_activity_minutely_dag.py:163
druid_load_edit_hourly,airflow-main,1,1,"'@monthly'",2419200.0,0,169630.4,,main/dags/druid_load/druid_load_edit_hourly_dag.py:71
druid_load_editattemptstep_daily,airflow-main,1,1,"'@daily'",86400.0,28,7159.7,,main/dags/druid_load/druid_load_editattemptstep_dag.py:92
druid_load_editattemptstep_hourly,airflow-main,1,1,"'0 0-22 * * *'",3600.0,680,6082.2,,main/dags/druid_load/druid_load_editattemptstep_dag.py:66
druid_load_geoeditors_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,168078.5,,main/dags/druid_load/druid_load_geoeditors_monthly_dag.py:74
druid_load_navigationtiming_daily,airflow-main,1,1,"'@daily'",86400.0,28,6622.2,,main/dags/druid_load/druid_load_navigationtiming_dag.py:110
druid_load_navigationtiming_hourly,airflow-main,1,1,"'0 0-22 * * *'",3600.0,680,5996.9,,main/dags/druid_load/druid_load_navigationtiming_dag.py:84
druid_load_netflow_daily,airflow-main,1,1,"'@daily'",86400.0,28,11981.6,,main/dags/druid_load/druid_load_netflow_dag.py:137
druid_load_netflow_hourly,airflow-main,1,1,"'@hourly'",3600.0,712,10771.3,,main/dags/druid_load/druid_load_netflow_dag.py:111
druid_load_netflow_sanitized,airflow-main,1,1,"DelayedDailyTimetable(timedelta(days=props.sanitization_delay_in_days))",,28,3951.3,,main/dags/druid_load/druid_load_netflow_dag.py:175
